feature,importance
remainder__order_value,0.37265987308569065
categorical__customer_type_Enterprise,0.14481509463679462
categorical__shipping_method_Standard,0.08088672260402376
categorical__customer_type_SMB,0.04671545929680173
categorical__shipping_method_Priority,0.044465354884717714
categorical__customer_type_Retail,0.03893649237763803
remainder__manual_approval,0.03851027679768023
remainder__rework,0.032254612675305924
categorical__shipping_method_Express,0.02207664050660273
categorical__warehouse_WH_NORTH,0.02170773901432811
categorical__warehouse_WH_WEST,0.021134517523761918
categorical__product_category_Industrial,0.020910110065182463
categorical__product_category_Office Supplies,0.020325863952385566
categorical__warehouse_WH_SOUTH,0.02022252111391316
categorical__warehouse_WH_EAST,0.019877264592914768
categorical__product_category_Furniture,0.018940709135426365
categorical__product_category_Clothing,0.018395115827711344
categorical__product_category_Electronics,0.017165631909120845
